Mission        Instrument      Sensing Date                 ID                                                                      Download URL  
Sentinel-1A    SAR-C           2015-07-25T22:05:08.568Z     S1A_IW_SLC__1SDV_20150725T220508_20150725T220535_006973_009743_FBBB     https://scihub.copernicus.eu/dhus/odata/v1/Products('5c0cff41-c101-42f2-bbd0-b9bb56e0a96f')/$value 
Sentinel-1A    SAR-C           2016-02-26T22:05:07.370Z     S1A_IW_SLC__1SDV_20160226T220507_20160226T220534_010123_00EED1_A849     https://scihub.copernicus.eu/dhus/odata/v1/Products('2752d229-a940-47a0-b193-c10ea59c405a')/$value
Sentinel-1B    SAR-C           2016-10-29T22:04:39.608Z     S1B_IW_SLC__1SDV_20161029T220439_20161029T220506_002727_0049E0_A131     https://scihub.copernicus.eu/dhus/odata/v1/Products('6d651b65-849e-4c5f-9aed-7777e375e8bb')/$value
Sentinel-1B    SAR-C           2016-12-04T22:04:32.473Z     S1B_IW_SLC__1SDV_20161204T220432_20161204T220459_003252_0058B0_7D27     https://scihub.copernicus.eu/dhus/odata/v1/Products('2899959d-7c8e-4376-b2a3-2c37dbd61fbb')/$value
Sentinel-1B    SAR-C           2017-02-26T22:04:35.552Z     S1B_IW_SLC__1SDV_20170226T220435_20170226T220502_004477_007CB3_38EF     https://scihub.copernicus.eu/dhus/odata/v1/Products('b17921fb-d03e-45e6-8476-d96a6e5d5fee')/$value
Sentinel-1B    SAR-C           2017-03-10T22:04:35.686Z     S1B_IW_SLC__1SDV_20170310T220435_20170310T220502_004652_0081D1_B78C     https://scihub.copernicus.eu/dhus/odata/v1/Products('eb3b54f7-6f70-4d59-a638-7c737b585698')/$value
Sentinel-1B    SAR-C           2017-03-22T22:04:35.845Z     S1B_IW_SLC__1SDV_20170322T220435_20170322T220502_004827_0086EE_13B3     https://scihub.copernicus.eu/dhus/odata/v1/Products('eb3b54f7-6f70-4d59-a638-7c737b585698')/$value
Sentinel-1B    SAR-C           2017-04-03T22:04:36.337Z     S1B_IW_SLC__1SDV_20170403T220436_20170403T220503_005002_008BFD_0F62     https://scihub.copernicus.eu/dhus/odata/v1/Products('feae1443-3f9c-49da-8fa5-3a2c486222fb')/$value
Sentinel-1B    SAR-C           2017-04-15T22:04:36.804Z     S1B_IW_SLC__1SDV_20170415T220436_20170415T220503_005177_0090FC_0FBE     https://scihub.copernicus.eu/dhus/odata/v1/Products('5feb5faa-0b59-461d-a429-0d61d412c05a')/$value
Sentinel-1B    SAR-C           2017-06-02T22:04:39.184Z     S1B_IW_SLC__1SDV_20170602T220439_20170602T220506_005877_00A4E8_D024     https://scihub.copernicus.eu/dhus/odata/v1/Products('f2b67da3-c0ab-43b7-ada4-d3abd4136b63')/$value
Sentinel-1B    SAR-C           2017-06-14T22:04:40.033Z     S1B_IW_SLC__1SDV_20170614T220440_20170614T220507_006052_00AA10_4CC2     https://scihub.copernicus.eu/dhus/odata/v1/Products('5e50b654-b045-4d90-9c87-bdc2ac9ae958')/$value
Sentinel-1A    SAR-C           2017-07-09T09:56:13.540Z     S1A_IW_SLC__1SDV_20170709T095613_20170709T095641_017393_01D0D6_1AC4     https://scihub.copernicus.eu/dhus/odata/v1/Products('1b9a1ece-e668-4897-b8fb-2ec66af3c497')/$value
Sentinel-1B    SAR-C           2017-09-06T22:04:44.280Z     S1B_IW_SLC__1SDV_20170906T220444_20170906T220511_007277_00CD5F_EC78     https://scihub.copernicus.eu/dhus/odata/v1/Products('7c1a5ee0-1d09-451f-9594-a4a1d26f8476')/$value
Sentinel-1B    SAR-C           2017-09-25T21:56:16.048Z     S1B_IW_SLC__1SDV_20170925T215616_20170925T215646_007554_00D563_8457     https://scihub.copernicus.eu/dhus/odata/v1/Products('e8edfe33-2398-4b8d-b103-bf9a3f7b3f52')/$value
Sentinel-1B    SAR-C           2018-02-21T22:04:42.106Z     S1B_IW_SLC__1SDV_20180221T220442_20180221T220509_009727_0118FD_5CE1     https://scihub.copernicus.eu/dhus/odata/v1/Products('23548d15-33a6-48d0-bea5-546a0803b47e')/$value
Sentinel-1B    SAR-C           2018-03-29T22:04:42.618Z     S1B_IW_SLC__1SDV_20180329T220442_20180329T220509_010252_012A3F_AAC5     https://scihub.copernicus.eu/dhus/odata/v1/Products('23700117-37c8-4925-a73a-719478138cf8')/$value
Sentinel-1B    SAR-C           2018-05-04T22:04:44.078Z     S1B_IW_SLC__1SDV_20180504T220444_20180504T220511_010777_013B28_00BA     https://scihub.copernicus.eu/dhus/odata/v1/Products('220a2a03-e0fb-4268-bf12-2bf4f29b9b5f')/$value
Sentinel-1B    SAR-C           2018-05-16T22:04:44.542Z     S1B_IW_SLC__1SDV_20180516T220444_20180516T220511_010952_0140CF_799F     https://scihub.copernicus.eu/dhus/odata/v1/Products('97e0c138-4213-4bc9-a234-0607f8f9767c')/$value
